claim_id,item_type,payment_id,settlement_id,merchant_id,gateway_id,txn_date,amount_inr,claim_amount_inr,root_cause,confidence_score,rule_id,evidence_text,suggested_action
CLM-FEE-0011,FEE_OVERCHARGE,PAY021,SEL021,MER001,GW_ALPHA,2024-02-06,"18,196.68",64.42,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 272.95, Expected Tax Rs 49.13, Expected Total Rs 322.08. Gateway Actual Deducted: MDR Rs 327.54, Tax Rs 58.96, Total Rs 386.50. Overcharge: Rs 64.42. Details: Txn date 2024-02-06 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0012,FEE_OVERCHARGE,PAY022,SEL022,MER001,GW_ALPHA,2024-02-03,"1,749.78",6.19,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 26.25, Expected Tax Rs 4.72, Expected Total Rs 30.97. Gateway Actual Deducted: MDR Rs 31.50, Tax Rs 5.67, Total Rs 37.17. Overcharge: Rs 6.19. Details: Txn date 2024-02-03 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0013,FEE_OVERCHARGE,PAY023,SEL023,MER001,GW_ALPHA,2024-02-06,"9,670.34",34.23,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 145.06, Expected Tax Rs 26.11, Expected Total Rs 171.17. Gateway Actual Deducted: MDR Rs 174.07, Tax Rs 31.33, Total Rs 205.40. Overcharge: Rs 34.23. Details: Txn date 2024-02-06 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0014,FEE_OVERCHARGE,PAY024,SEL024,MER001,GW_ALPHA,2024-02-15,"21,696.13",76.80,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 325.44, Expected Tax Rs 58.58, Expected Total Rs 384.02. Gateway Actual Deducted: MDR Rs 390.53, Tax Rs 70.30, Total Rs 460.83. Overcharge: Rs 76.80. Details: Txn date 2024-02-15 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0015,FEE_OVERCHARGE,PAY025,SEL025,MER001,GW_ALPHA,2024-03-10,"1,612.99",5.71,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 24.19, Expected Tax Rs 4.36, Expected Total Rs 28.55. Gateway Actual Deducted: MDR Rs 29.03, Tax Rs 5.23, Total Rs 34.26. Overcharge: Rs 5.71. Details: Txn date 2024-03-10 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0016,FEE_OVERCHARGE,PAY026,SEL026,MER001,GW_ALPHA,2024-03-07,"8,839.85",31.29,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 132.60, Expected Tax Rs 23.87, Expected Total Rs 156.47. Gateway Actual Deducted: MDR Rs 159.12, Tax Rs 28.64, Total Rs 187.76. Overcharge: Rs 31.29. Details: Txn date 2024-03-07 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0017,FEE_OVERCHARGE,PAY027,SEL027,MER001,GW_ALPHA,2024-03-17,"23,356.50",82.68,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 350.35, Expected Tax Rs 63.06, Expected Total Rs 413.41. Gateway Actual Deducted: MDR Rs 420.42, Tax Rs 75.68, Total Rs 496.09. Overcharge: Rs 82.68. Details: Txn date 2024-03-17 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0018,FEE_OVERCHARGE,PAY028,SEL028,MER001,GW_ALPHA,2024-02-27,"9,745.94",34.50,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 146.19, Expected Tax Rs 26.31, Expected Total Rs 172.50. Gateway Actual Deducted: MDR Rs 175.43, Tax Rs 31.58, Total Rs 207.00. Overcharge: Rs 34.50. Details: Txn date 2024-02-27 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0019,FEE_OVERCHARGE,PAY029,SEL029,MER001,GW_ALPHA,2024-02-29,"12,168.16",43.08,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 182.52, Expected Tax Rs 32.85, Expected Total Rs 215.38. Gateway Actual Deducted: MDR Rs 219.03, Tax Rs 39.42, Total Rs 258.45. Overcharge: Rs 43.08. Details: Txn date 2024-02-29 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0020,FEE_OVERCHARGE,PAY030,SEL030,MER001,GW_ALPHA,2024-03-23,772.57,2.73,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 11.59, Expected Tax Rs 2.09, Expected Total Rs 13.67. Gateway Actual Deducted: MDR Rs 13.91, Tax Rs 2.50, Total Rs 16.41. Overcharge: Rs 2.73. Details: Txn date 2024-03-23 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0021,FEE_OVERCHARGE,PAY031,SEL031,MER001,GW_ALPHA,2024-03-20,"7,196.59",25.48,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 107.95, Expected Tax Rs 19.43, Expected Total Rs 127.38. Gateway Actual Deducted: MDR Rs 129.54, Tax Rs 23.32, Total Rs 152.86. Overcharge: Rs 25.48. Details: Txn date 2024-03-20 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0022,FEE_OVERCHARGE,PAY032,SEL032,MER001,GW_ALPHA,2024-03-16,"18,225.73",64.52,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 273.39, Expected Tax Rs 49.21, Expected Total Rs 322.60. Gateway Actual Deducted: MDR Rs 328.06, Tax Rs 59.05, Total Rs 387.11. Overcharge: Rs 64.52. Details: Txn date 2024-03-16 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0023,FEE_OVERCHARGE,PAY033,SEL033,MER001,GW_ALPHA,2024-02-22,"12,154.76",43.03,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 182.32, Expected Tax Rs 32.82, Expected Total Rs 215.14. Gateway Actual Deducted: MDR Rs 218.79, Tax Rs 39.38, Total Rs 258.17. Overcharge: Rs 43.03. Details: Txn date 2024-02-22 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0024,FEE_OVERCHARGE,PAY034,SEL034,MER001,GW_ALPHA,2024-02-10,"9,530.91",33.74,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 142.96, Expected Tax Rs 25.73, Expected Total Rs 168.70. Gateway Actual Deducted: MDR Rs 171.56, Tax Rs 30.88, Total Rs 202.44. Overcharge: Rs 33.74. Details: Txn date 2024-02-10 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0025,FEE_OVERCHARGE,PAY035,SEL035,MER001,GW_ALPHA,2024-03-20,"14,617.79",51.75,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 219.27, Expected Tax Rs 39.47, Expected Total Rs 258.73. Gateway Actual Deducted: MDR Rs 263.12, Tax Rs 47.36, Total Rs 310.48. Overcharge: Rs 51.75. Details: Txn date 2024-03-20 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0026,FEE_OVERCHARGE,PAY036,SEL036,MER001,GW_ALPHA,2024-02-07,"4,390.04",15.54,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 65.85, Expected Tax Rs 11.85, Expected Total Rs 77.70. Gateway Actual Deducted: MDR Rs 79.02, Tax Rs 14.22, Total Rs 93.24. Overcharge: Rs 15.54. Details: Txn date 2024-02-07 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0027,FEE_OVERCHARGE,PAY037,SEL037,MER001,GW_ALPHA,2024-02-25,"4,556.57",16.13,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 68.35, Expected Tax Rs 12.30, Expected Total Rs 80.65. Gateway Actual Deducted: MDR Rs 82.02, Tax Rs 14.76, Total Rs 96.78. Overcharge: Rs 16.13. Details: Txn date 2024-02-25 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0028,FEE_OVERCHARGE,PAY038,SEL038,MER001,GW_ALPHA,2024-02-23,"14,926.54",52.84,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 223.90, Expected Tax Rs 40.30, Expected Total Rs 264.20. Gateway Actual Deducted: MDR Rs 268.68, Tax Rs 48.36, Total Rs 317.04. Overcharge: Rs 52.84. Details: Txn date 2024-02-23 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0029,FEE_OVERCHARGE,PAY039,SEL039,MER001,GW_ALPHA,2024-03-10,"11,594.80",41.05,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 173.92, Expected Tax Rs 31.31, Expected Total Rs 205.23. Gateway Actual Deducted: MDR Rs 208.71, Tax Rs 37.57, Total Rs 246.27. Overcharge: Rs 41.05. Details: Txn date 2024-03-10 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0030,FEE_OVERCHARGE,PAY040,SEL040,MER001,GW_ALPHA,2024-03-23,"2,322.44",8.22,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 34.84, Expected Tax Rs 6.27, Expected Total Rs 41.11. Gateway Actual Deducted: MDR Rs 41.80, Tax Rs 7.52, Total Rs 49.33. Overcharge: Rs 8.22. Details: Txn date 2024-03-23 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0031,FEE_OVERCHARGE,PAY041,SEL041,MER001,GW_ALPHA,2024-03-18,"19,769.67",69.98,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 296.55, Expected Tax Rs 53.38, Expected Total Rs 349.92. Gateway Actual Deducted: MDR Rs 355.85, Tax Rs 64.05, Total Rs 419.91. Overcharge: Rs 69.98. Details: Txn date 2024-03-18 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0032,FEE_OVERCHARGE,PAY042,SEL042,MER001,GW_ALPHA,2024-03-06,"5,735.58",20.30,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 86.03, Expected Tax Rs 15.49, Expected Total Rs 101.52. Gateway Actual Deducted: MDR Rs 103.24, Tax Rs 18.58, Total Rs 121.82. Overcharge: Rs 20.30. Details: Txn date 2024-03-06 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0033,FEE_OVERCHARGE,PAY043,SEL043,MER001,GW_ALPHA,2024-02-25,"3,805.11",13.47,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 57.08, Expected Tax Rs 10.27, Expected Total Rs 67.35. Gateway Actual Deducted: MDR Rs 68.49, Tax Rs 12.33, Total Rs 80.82. Overcharge: Rs 13.47. Details: Txn date 2024-02-25 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0034,FEE_OVERCHARGE,PAY044,SEL044,MER001,GW_ALPHA,2024-03-07,"12,796.78",45.30,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 191.95, Expected Tax Rs 34.55, Expected Total Rs 226.50. Gateway Actual Deducted: MDR Rs 230.34, Tax Rs 41.46, Total Rs 271.80. Overcharge: Rs 45.30. Details: Txn date 2024-03-07 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0035,FEE_OVERCHARGE,PAY045,SEL045,MER001,GW_ALPHA,2024-03-25,"15,668.07",55.46,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 235.02, Expected Tax Rs 42.30, Expected Total Rs 277.32. Gateway Actual Deducted: MDR Rs 282.03, Tax Rs 50.76, Total Rs 332.79. Overcharge: Rs 55.46. Details: Txn date 2024-03-25 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0036,FEE_OVERCHARGE,PAY046,SEL046,MER001,GW_ALPHA,2024-03-08,"8,565.16",30.32,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 128.48, Expected Tax Rs 23.13, Expected Total Rs 151.60. Gateway Actual Deducted: MDR Rs 154.17, Tax Rs 27.75, Total Rs 181.92. Overcharge: Rs 30.32. Details: Txn date 2024-03-08 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0037,FEE_OVERCHARGE,PAY047,SEL047,MER001,GW_ALPHA,2024-03-17,"3,417.35",12.10,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 51.26, Expected Tax Rs 9.23, Expected Total Rs 60.49. Gateway Actual Deducted: MDR Rs 61.51, Tax Rs 11.07, Total Rs 72.58. Overcharge: Rs 12.10. Details: Txn date 2024-03-17 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0038,FEE_OVERCHARGE,PAY048,SEL048,MER001,GW_ALPHA,2024-02-03,"10,058.74",35.61,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 150.88, Expected Tax Rs 27.16, Expected Total Rs 178.04. Gateway Actual Deducted: MDR Rs 181.06, Tax Rs 32.59, Total Rs 213.65. Overcharge: Rs 35.61. Details: Txn date 2024-02-03 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0039,FEE_OVERCHARGE,PAY049,SEL049,MER001,GW_ALPHA,2024-03-21,"12,637.81",44.74,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 189.57, Expected Tax Rs 34.12, Expected Total Rs 223.69. Gateway Actual Deducted: MDR Rs 227.48, Tax Rs 40.95, Total Rs 268.43. Overcharge: Rs 44.74. Details: Txn date 2024-03-21 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0040,FEE_OVERCHARGE,PAY050,SEL050,MER001,GW_ALPHA,2024-02-06,"10,263.95",36.33,contract_version_violation,98,RUL004,"Contract Rule RUL004: Expected MDR fee Rs 153.96, Expected Tax Rs 27.71, Expected Total Rs 181.67. Gateway Actual Deducted: MDR Rs 184.75, Tax Rs 33.26, Total Rs 218.01. Overcharge: Rs 36.33. Details: Txn date 2024-02-06 governed by active contract. Gateway used expired rate from CON001.",File claim for application of superseded contract terms.
CLM-FEE-0041,FEE_OVERCHARGE,PAY051,SEL051,MER001,GW_ALPHA,2024-02-07,"16,443.64",58.21,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 197.32, Expected Tax Rs 35.52, Expected Total Rs 232.84. Gateway Actual Deducted: MDR Rs 246.65, Tax Rs 44.40, Total Rs 291.05. Overcharge: Rs 58.21. Details: Contract rule RUL005 specifies expected MDR Rs 197.323680; gateway billed Rs 246.654600.",Claim refund for MDR overbilling.
CLM-FEE-0042,FEE_OVERCHARGE,PAY052,SEL052,MER001,GW_ALPHA,2024-02-18,"19,517.40",69.09,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 234.21, Expected Tax Rs 42.16, Expected Total Rs 276.37. Gateway Actual Deducted: MDR Rs 292.76, Tax Rs 52.70, Total Rs 345.46. Overcharge: Rs 69.09. Details: Contract rule RUL005 specifies expected MDR Rs 234.208800; gateway billed Rs 292.761000.",Claim refund for MDR overbilling.
CLM-FEE-0043,FEE_OVERCHARGE,PAY053,SEL053,MER001,GW_ALPHA,2024-03-12,"15,802.17",55.94,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 189.63, Expected Tax Rs 34.13, Expected Total Rs 223.76. Gateway Actual Deducted: MDR Rs 237.03, Tax Rs 42.67, Total Rs 279.70. Overcharge: Rs 55.94. Details: Contract rule RUL005 specifies expected MDR Rs 189.626040; gateway billed Rs 237.032550.",Claim refund for MDR overbilling.
CLM-FEE-0044,FEE_OVERCHARGE,PAY054,SEL054,MER001,GW_ALPHA,2024-02-11,"16,026.51",56.73,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 192.32, Expected Tax Rs 34.62, Expected Total Rs 226.94. Gateway Actual Deducted: MDR Rs 240.40, Tax Rs 43.27, Total Rs 283.67. Overcharge: Rs 56.73. Details: Contract rule RUL005 specifies expected MDR Rs 192.318120; gateway billed Rs 240.397650.",Claim refund for MDR overbilling.
CLM-FEE-0045,FEE_OVERCHARGE,PAY055,SEL055,MER001,GW_ALPHA,2024-02-23,"9,287.36",32.88,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 111.45, Expected Tax Rs 20.06, Expected Total Rs 131.51. Gateway Actual Deducted: MDR Rs 139.31, Tax Rs 25.08, Total Rs 164.39. Overcharge: Rs 32.88. Details: Contract rule RUL005 specifies expected MDR Rs 111.448320; gateway billed Rs 139.310400.",Claim refund for MDR overbilling.
CLM-FEE-0046,FEE_OVERCHARGE,PAY056,SEL056,MER001,GW_ALPHA,2024-03-14,"11,697.86",41.41,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 140.37, Expected Tax Rs 25.27, Expected Total Rs 165.64. Gateway Actual Deducted: MDR Rs 175.47, Tax Rs 31.58, Total Rs 207.05. Overcharge: Rs 41.41. Details: Contract rule RUL005 specifies expected MDR Rs 140.374320; gateway billed Rs 175.467900.",Claim refund for MDR overbilling.
CLM-FEE-0047,FEE_OVERCHARGE,PAY057,SEL057,MER001,GW_ALPHA,2024-03-16,"3,494.83",12.37,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 41.94, Expected Tax Rs 7.55, Expected Total Rs 49.49. Gateway Actual Deducted: MDR Rs 52.42, Tax Rs 9.44, Total Rs 61.86. Overcharge: Rs 12.37. Details: Contract rule RUL005 specifies expected MDR Rs 41.937960; gateway billed Rs 52.422450.",Claim refund for MDR overbilling.
CLM-FEE-0048,FEE_OVERCHARGE,PAY058,SEL058,MER001,GW_ALPHA,2024-03-10,"7,678.07",27.18,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 92.14, Expected Tax Rs 16.58, Expected Total Rs 108.72. Gateway Actual Deducted: MDR Rs 115.17, Tax Rs 20.73, Total Rs 135.90. Overcharge: Rs 27.18. Details: Contract rule RUL005 specifies expected MDR Rs 92.136840; gateway billed Rs 115.171050.",Claim refund for MDR overbilling.
CLM-FEE-0049,FEE_OVERCHARGE,PAY059,SEL059,MER001,GW_ALPHA,2024-03-06,"10,768.11",38.12,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 129.22, Expected Tax Rs 23.26, Expected Total Rs 152.48. Gateway Actual Deducted: MDR Rs 161.52, Tax Rs 29.07, Total Rs 190.60. Overcharge: Rs 38.12. Details: Contract rule RUL005 specifies expected MDR Rs 129.217320; gateway billed Rs 161.521650.",Claim refund for MDR overbilling.
CLM-FEE-0050,FEE_OVERCHARGE,PAY060,SEL060,MER001,GW_ALPHA,2024-02-11,"19,888.59",70.41,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 238.66, Expected Tax Rs 42.96, Expected Total Rs 281.62. Gateway Actual Deducted: MDR Rs 298.33, Tax Rs 53.70, Total Rs 352.03. Overcharge: Rs 70.41. Details: Contract rule RUL005 specifies expected MDR Rs 238.663080; gateway billed Rs 298.328850.",Claim refund for MDR overbilling.
CLM-FEE-0051,FEE_OVERCHARGE,PAY061,SEL061,MER001,GW_ALPHA,2024-02-25,"11,822.43",41.85,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 141.87, Expected Tax Rs 25.54, Expected Total Rs 167.41. Gateway Actual Deducted: MDR Rs 177.34, Tax Rs 31.92, Total Rs 209.26. Overcharge: Rs 41.85. Details: Contract rule RUL005 specifies expected MDR Rs 141.869160; gateway billed Rs 177.336450.",Claim refund for MDR overbilling.
CLM-FEE-0052,FEE_OVERCHARGE,PAY062,SEL062,MER001,GW_ALPHA,2024-03-12,"23,860.16",84.46,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 286.32, Expected Tax Rs 51.54, Expected Total Rs 337.86. Gateway Actual Deducted: MDR Rs 357.90, Tax Rs 64.42, Total Rs 422.32. Overcharge: Rs 84.46. Details: Contract rule RUL005 specifies expected MDR Rs 286.321920; gateway billed Rs 357.902400.",Claim refund for MDR overbilling.
CLM-FEE-0053,FEE_OVERCHARGE,PAY063,SEL063,MER001,GW_ALPHA,2024-02-15,"14,101.40",49.92,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 169.22, Expected Tax Rs 30.46, Expected Total Rs 199.68. Gateway Actual Deducted: MDR Rs 211.52, Tax Rs 38.07, Total Rs 249.59. Overcharge: Rs 49.92. Details: Contract rule RUL005 specifies expected MDR Rs 169.216800; gateway billed Rs 211.521000.",Claim refund for MDR overbilling.
CLM-FEE-0054,FEE_OVERCHARGE,PAY064,SEL064,MER001,GW_ALPHA,2024-03-25,"2,846.20",10.08,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 34.15, Expected Tax Rs 6.15, Expected Total Rs 40.30. Gateway Actual Deducted: MDR Rs 42.69, Tax Rs 7.68, Total Rs 50.38. Overcharge: Rs 10.08. Details: Contract rule RUL005 specifies expected MDR Rs 34.154400; gateway billed Rs 42.693000.",Claim refund for MDR overbilling.
CLM-FEE-0055,FEE_OVERCHARGE,PAY065,SEL065,MER001,GW_ALPHA,2024-02-15,"1,846.38",6.54,wrong_mdr,95,RUL005,"Contract Rule RUL005: Expected MDR fee Rs 22.16, Expected Tax Rs 3.99, Expected Total Rs 26.14. Gateway Actual Deducted: MDR Rs 27.70, Tax Rs 4.99, Total Rs 32.68. Overcharge: Rs 6.54. Details: Contract rule RUL005 specifies expected MDR Rs 22.156560; gateway billed Rs 27.695700.",Claim refund for MDR overbilling.
