bank_txn_id,settlement_id,posted_amount,posting_date,status,notes
BKTXN0061,SEL065,1813.699074,2024-02-19,posted,
BKTXN0062,SEL066,13488.010415,2024-03-27,posted,
BKTXN0063,SEL067,11522.241478,2024-03-01,posted,
BKTXN0064,SEL068,9183.778098,2024-02-09,posted,
BKTXN0065,SEL069,13456.075842,2024-03-11,posted,
BKTXN0066,SEL070,21059.794921,2024-02-18,posted,
BKTXN0067,SEL071,19396.142172,2024-03-02,posted,
BKTXN0068,SEL072,11404.375301,2024-02-13,posted,
BKTXN0069,SEL073,10652.355890,2024-02-13,posted,
BKTXN0070,SEL074,23619.875004,2024-03-22,posted,
BKTXN0071,SEL075,11316.272814,2024-03-11,posted,
BKTXN0072,SEL076,18142.894363,2024-03-24,posted,
BKTXN0073,SEL077,16946.708361,2024-03-14,posted,
BKTXN0074,SEL078,9527.298231,2024-02-27,posted,
BKTXN0075,SEL079,21483.961884,2024-02-12,posted,
BKTXN0076,SEL080,4236.669723,2024-03-07,posted,
BKTXN0077,SEL081,7082.510699,2024-03-25,posted,
BKTXN0078,SEL082,50505.425174,2024-02-22,posted,
BKTXN0079,SEL083,60298.183142,2024-04-02,posted,
BKTXN0080,SEL084,12674.234826,2024-01-19,posted,
BKTXN0081,SEL085,60992.216443,2024-01-04,posted,
BKTXN0082,SEL086,25543.812403,2024-03-25,posted,
BKTXN0083,SEL087,22877.621722,2024-01-26,posted,
BKTXN0084,SEL088,5136.930217,2024-01-07,posted,
BKTXN0085,SEL089,20805.405062,2024-01-13,posted,
BKTXN0086,SEL090,22600.714048,2024-01-14,posted,
BKTXN0087,SEL091,7360.200608,2024-03-16,posted,
BKTXN0088,SEL092,78922.910000,2024-02-01,posted,
BKTXN0089,SEL093,16019.352848,2024-03-29,posted,
BKTXN0090,SEL094,21795.830000,2024-01-20,posted,
BKTXN0091,SEL095,23481.103947,2024-01-08,posted,
BKTXN0092,SEL096,2906.271218,2024-01-14,posted,
BKTXN0093,SEL097,3410.516131,2024-02-16,posted,
BKTXN0094,SEL098,22871.606292,2024-02-01,posted,
BKTXN0095,SEL099,20337.920000,2024-02-06,posted,
BKTXN0096,SEL100,55216.913606,2024-01-18,posted,
BKTXN0097,SEL101,39797.590442,2024-02-26,posted,
BKTXN0098,SEL102,14470.634574,2024-02-25,posted,
BKTXN0099,SEL103,22505.069122,2024-01-29,posted,
BKTXN0100,SEL104,24136.044394,2024-01-27,posted,
BKTXN0101,SEL105,67483.209427,2024-03-02,posted,
BKTXN0102,SEL106,10193.266657,2024-01-15,posted,
BKTXN0103,SEL107,20689.630000,2024-03-08,posted,
BKTXN0104,SEL108,7405.380000,2024-01-12,posted,
BKTXN0105,SEL109,77978.824698,2024-02-06,posted,
BKTXN0106,SEL110,55988.214397,2024-03-16,posted,
BKTXN0107,SEL111,18898.402118,2024-02-10,posted,
BKTXN0108,SEL112,2575.474866,2024-01-12,posted,
BKTXN0109,SEL113,7574.472058,2024-03-11,posted,
BKTXN0110,SEL114,10181.696668,2024-03-31,posted,
BKTXN0111,SEL115,49911.418906,2024-03-20,posted,
BKTXN0112,SEL116,24759.908238,2024-03-29,posted,
BKTXN0113,SEL117,59925.357542,2024-03-30,posted,
BKTXN0114,SEL118,11865.779562,2024-02-25,posted,
BKTXN0115,SEL119,78931.700000,2024-02-15,posted,
BKTXN0116,SEL120,23900.254109,2024-03-23,posted,
BKTXN0117,SEL121,11417.577413,2024-03-09,posted,
BKTXN0118,SEL122,15715.896284,2024-02-04,posted,
BKTXN0119,SEL123,59450.637632,2024-03-13,posted,
BKTXN0120,SEL124,9597.991498,2024-03-30,posted,
BKTXN0121,SEL125,23200.409589,2024-01-19,posted,
BKTXN0122,SEL126,9251.830206,2024-03-22,posted,
BKTXN0123,SEL127,41584.719171,2024-03-08,posted,
BKTXN0124,SEL128,35842.383763,2024-03-26,posted,
BKTXN0125,SEL129,64446.005299,2024-02-15,posted,
BKTXN0126,SEL130,23220.737045,2024-03-02,posted,
BKTXN0127,SEL131,73662.813370,2024-01-14,posted,
BKTXN0128,SEL132,23465.059967,2024-03-18,posted,
BKTXN0129,SEL133,2254.420000,2024-01-22,posted,
BKTXN0130,SEL134,18270.897389,2024-02-18,posted,
BKTXN0131,SEL135,17389.429405,2024-03-16,posted,
BKTXN0132,SEL136,17414.959229,2024-01-28,posted,
BKTXN0133,SEL137,10812.336412,2024-02-25,posted,
BKTXN0134,SEL138,72762.459168,2024-02-21,posted,
BKTXN0135,SEL139,8870.690000,2024-02-02,posted,
BKTXN0136,SEL140,19514.210301,2024-02-03,posted,
BKTXN0137,SEL141,12077.608767,2024-02-16,posted,
BKTXN0138,SEL142,21672.505723,2024-03-28,posted,
BKTXN0139,SEL143,73163.403667,2024-01-20,posted,
BKTXN0140,SEL144,9998.177738,2024-01-09,posted,
BKTXN0141,SEL145,51362.992589,2024-03-01,posted,
BKTXN0142,SEL146,8472.480000,2024-03-17,posted,
BKTXN0143,SEL147,44192.913179,2024-01-05,posted,
BKTXN0144,SEL148,14197.197354,2024-01-14,posted,
BKTXN0145,SEL149,26690.312315,2024-03-10,posted,
BKTXN0146,SEL150,47059.009389,2024-02-11,posted,
BKTXN0147,SEL151,16257.337875,2024-03-30,posted,
BKTXN0148,SEL152,512.444373,2024-03-16,posted,
BKTXN0149,SEL153,65650.879526,2024-03-01,posted,
BKTXN0150,SEL154,38091.050000,2024-03-01,posted,
BKTXN0151,SEL155,4056.580000,2024-01-27,posted,
BKTXN0152,SEL156,56353.756973,2024-02-03,posted,
BKTXN0153,SEL157,2991.385824,2024-01-24,posted,
BKTXN0154,SEL158,3523.171524,2024-03-22,posted,
BKTXN0155,SEL159,49290.770000,2024-03-24,posted,
BKTXN0156,SEL160,17262.650000,2024-03-09,posted,
BKTXN0157,SEL161,17942.550019,2024-01-19,posted,
BKTXN0158,SEL162,23625.691940,2024-01-11,posted,
BKTXN0159,SEL163,19776.261705,2024-01-21,posted,
BKTXN0160,SEL164,69367.700000,2024-03-24,posted,
BKTXN0161,SEL165,63382.330000,2024-01-24,posted,
BKTXN0162,SEL166,64063.600000,2024-02-07,posted,
BKTXN0163,SEL167,10441.457993,2024-03-24,posted,
BKTXN0164,SEL168,60856.480000,2024-01-15,posted,
BKTXN0165,SEL169,27556.566941,2024-02-17,posted,
BKTXN0166,SEL170,16213.805382,2024-02-02,posted,
BKTXN0167,SEL171,17284.501685,2024-02-27,posted,
BKTXN0168,SEL172,6223.220000,2024-02-26,posted,
BKTXN0169,SEL173,24998.060000,2024-02-24,posted,
BKTXN0170,SEL174,747.290000,2024-03-06,posted,
BKTXN0171,SEL175,45713.561458,2024-02-26,posted,
BKTXN0172,SEL176,11947.730000,2024-02-01,posted,
BKTXN0173,SEL177,33619.700000,2024-01-08,posted,
BKTXN0174,SEL178,71506.720000,2024-01-25,posted,
BKTXN0175,SEL179,49695.258547,2024-02-24,posted,
BKTXN0176,SEL180,19654.063381,2024-01-22,posted,
BKTXN0177,SEL181,14104.223084,2024-02-22,posted,
BKTXN0178,SEL182,14655.790000,2024-02-15,posted,
BKTXN0179,SEL183,70366.806944,2024-02-05,posted,
BKTXN0180,SEL184,23124.870000,2024-01-06,posted,
BKTXN0181,SEL185,3318.268338,2024-03-29,posted,
BKTXN0182,SEL186,1326.014260,2024-01-30,posted,
BKTXN0183,SEL187,5204.068232,2024-03-06,posted,
BKTXN0184,SEL188,15972.580000,2024-02-07,posted,
BKTXN0185,SEL189,4944.888377,2024-02-12,posted,
BKTXN0186,SEL190,8740.505832,2024-02-23,posted,
BKTXN0187,SEL191,5478.689843,2024-02-11,posted,
BKTXN0188,SEL192,15900.880689,2024-03-28,posted,
BKTXN0189,SEL193,20687.768442,2024-02-28,posted,
BKTXN0190,SEL194,19782.860000,2024-02-20,posted,
BKTXN0191,SEL195,22383.640000,2024-01-28,posted,
BKTXN0192,SEL196,37538.630000,2024-03-05,posted,
BKTXN0193,SEL197,23937.552173,2024-01-15,posted,
BKTXN0194,SEL198,51705.577765,2024-03-17,posted,
BKTXN0195,SEL199,71016.497261,2024-03-09,posted,
BKTXN0196,SEL200,30474.449627,2024-01-31,posted,
BKTXN0197,SEL201,59254.853448,2024-03-20,posted,
BKTXN0198,SEL202,20845.277779,2024-01-15,posted,
BKTXN0199,SEL203,64599.460000,2024-03-17,posted,
BKTXN0200,SEL204,21086.530000,2024-03-27,posted,
BKTXN0201,SEL205,19219.012512,2024-02-11,posted,
BKTXN0202,SEL206,49314.445170,2024-03-29,posted,
BKTXN0203,SEL207,45536.950000,2024-03-16,posted,
BKTXN0204,SEL208,28748.780000,2024-03-14,posted,
BKTXN0205,SEL209,26721.400000,2024-02-08,posted,
BKTXN0206,SEL210,26951.444890,2024-01-29,posted,
BKTXN0207,SEL211,20366.781938,2024-02-02,posted,
BKTXN0208,SEL212,25362.884064,2024-01-30,posted,
BKTXN0209,SEL213,1074.066466,2024-02-11,posted,
BKTXN0210,SEL214,23205.959158,2024-01-10,posted,
BKTXN0211,SEL215,73508.496757,2024-01-18,posted,
BKTXN0212,SEL216,18806.674790,2024-03-06,posted,
BKTXN0213,SEL217,78432.822586,2024-02-07,posted,
BKTXN0214,SEL218,41452.996973,2024-02-25,posted,
BKTXN0215,SEL219,23595.163072,2024-01-25,posted,
BKTXN0216,SEL220,46911.811296,2024-01-20,posted,
BKTXN0217,SEL221,76481.999387,2024-03-03,posted,
BKTXN0218,SEL222,48240.361150,2024-02-13,posted,
BKTXN0219,SEL223,9185.516769,2024-03-25,posted,
BKTXN0220,SEL224,15286.369594,2024-02-04,posted,
BKTXN0221,SEL225,19052.189827,2024-02-25,posted,
BKTXN0222,SEL226,24692.808538,2024-02-03,posted,
BKTXN0223,SEL227,58662.020000,2024-01-14,posted,
BKTXN0224,SEL228,5220.001138,2024-02-27,posted,
BKTXN0225,SEL229,3458.021613,2024-01-22,posted,
BKTXN0226,SEL230,24158.557710,2024-03-21,posted,
BKTXN0227,SEL231,40317.230000,2024-01-21,posted,
BKTXN0228,SEL232,42982.640000,2024-02-08,posted,
BKTXN0229,SEL233,51166.950000,2024-01-16,posted,
BKTXN0230,SEL234,11001.190000,2024-02-15,posted,
BKTXN0231,SEL235,24189.717057,2024-04-01,posted,
BKTXN0232,SEL236,19804.454955,2024-01-27,posted,
BKTXN0233,SEL237,36855.458842,2024-03-18,posted,
BKTXN0234,SEL238,34921.915443,2024-02-19,posted,
BKTXN0235,SEL239,28124.717242,2024-01-25,posted,
BKTXN0236,SEL240,56581.530000,2024-02-10,posted,
